Pizza;;
Végétarienne;Tomates fraiches, tapenade, tomates séchées, oignons;10
Jambon Mozza;Jambon, mozzarella, tomades fraiches, parmesan;12
Trois fromages;Mozzarella, chevre, gorgonzolla, coulis de tomates;13
Regina;Jambon cuit, champignons de Paris, sauce tomate;14
Margherita;Mozzarella, origan, coulis de tomates, olives;12
Vésuvio;Chorizo, poivrons frais, oignons rouges, mozarella;14
Merguez;Merguez, oignos rouges, dés de tomates;15
Desserts;;
Café gourmand;Café ou thé, moeleux au chocolat, gauffres, creme anglaise;6
Moelleux au choclat;Gateau au chocolat fondant fait maison;5
Crousti poires caramel;Poires caramelisées sur gateau crousitillant;5
Mousse au chocolat;Mousse au chocalat 84% de cacao;4
Glaces;Fraises, cassis, citron, mangue, chocolat, pistache;3,5
Coupe antillaise;Rhum-raisins (3 boules), rhum (3 cl);7
Colonel italien;Citron (3 boules), Grappa Piave (3cl);8
Fresca;Sorbet citron, framboise, fruit de la passion;8
